Country,Year,Male,Female
Germany,2012,0.553794829,0.446205171
Greece,2012,0.586142322,0.413857678
Hungary,2012,0.572657744,0.427342256
Iceland,2012,0.522650439,0.477349561
Ireland,2012,0.563018242,0.436981758
Israel,2012,0.544670846,0.455329154
Italy,2012,0.529884032,0.470115968
Japan,2012,0.594092827,0.405907173
Korea,2012,0.590648072,0.409351928
Luxembourg,2012,0.56533101,0.43466899
Mexico,2012,0.64,0.36
Netherlands,2012,0.522129187,0.477870813
New Zealand,2012,0.543382353,0.456617647
Norway,2012,0.530534351,0.469465649
Poland,2012,0.569920844,0.430079156
Portugal,2012,0.54812398,0.45187602
Slovak Republic,2012,0.573934837,0.426065163
Slovenia,2012,0.54835924,0.45164076
Spain,2012,0.558354324,0.441645676
Sweden,2012,0.530787217,0.469212783
Switzerland,2012,0.551648352,0.448351648
Turkey,2012,0.706586826,0.293413174
United Kingdom,2012,0.552610442,0.447389558
United States,2012,0.549563838,0.450436162
OECD - Average,2012,0.559804719,0.440195281
